U.S. Energy Information Administration,,,,,,,,,,,,,
July 2024 Monthly Energy Review,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note: Information about data precision.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Release Date: July 29, 2024",,,,,,,,,,,,,
"Next Update: August 27, 2024",,,,,,,,,,,,,
,,,,,,,,,,,,,
Table 10.2c Renewable Energy Consumption:  Transportation and Electric Power Sectors,,,,,,,,,,,,,
,,,,,,,,,,,,,
Annual Total,"Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector",Biodiesel Consumed by the Transportation Sector,Renewable Diesel Fuel Consumed by the Transportation Sector ,Other Biofuels Consumed by the Transportation Sector ,Biomass Energy Consumed by the Transportation Sector,Conventional Hydroelectric Power Consumed by the Electric Power Sector,Geothermal Energy Consumed by the Electric Power Sector,Solar Energy Consumed by the Electric Power Sector,Wind Energy Consumed by the Electric Power Sector,Wood Energy Consumed by the Electric Power Sector,Waste Energy Consumed by the Electric Power Sector,Biomass Energy Consumed by the Electric Power Sector,Total Renewable Energy Consumed by the Electric Power Sector
,(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu)
1949,Not Available,Not Available,Not Available,Not Available,Not Available,306.221,Not Available,Not Available,Not Available,5.803,Not Available,5.803,312.024
1950,Not Available,Not Available,Not Available,Not Available,Not Available,327.342,Not Available,Not Available,Not Available,5.466,Not Available,5.466,332.808
1951,Not Available,Not Available,Not Available,Not Available,Not Available,340.349,Not Available,Not Available,Not Available,5.331,Not Available,5.331,345.68
1952,Not Available,Not Available,Not Available,Not Available,Not Available,358.61,Not Available,Not Available,Not Available,6.435,Not Available,6.435,365.045
1953,Not Available,Not Available,Not Available,Not Available,Not Available,359.056,Not Available,Not Available,Not Available,5.019,Not Available,5.019,364.075
1954,Not Available,Not Available,Not Available,Not Available,Not Available,365.318,Not Available,Not Available,Not Available,3.209,Not Available,3.209,368.527
1955,Not Available,Not Available,Not Available,Not Available,Not Available,385.471,Not Available,Not Available,Not Available,3.234,Not Available,3.234,388.705
1956,Not Available,Not Available,Not Available,Not Available,Not Available,416.362,Not Available,Not Available,Not Available,1.738,Not Available,1.738,418.1
1957,Not Available,Not Available,Not Available,Not Available,Not Available,444.353,Not Available,Not Available,Not Available,2.008,Not Available,2.008,446.361
1958,Not Available,Not Available,Not Available,Not Available,Not Available,478.574,Not Available,Not Available,Not Available,1.94,Not Available,1.94,480.514
1959,Not Available,Not Available,Not Available,Not Available,Not Available,470.11,Not Available,Not Available,Not Available,1.677,Not Available,1.677,471.787
1960,Not Available,Not Available,Not Available,Not Available,Not Available,497.583,0.114,Not Available,Not Available,1.508,Not Available,1.508,499.205
1961,Not Available,Not Available,Not Available,Not Available,Not Available,519.209,0.321,Not Available,Not Available,1.339,Not Available,1.339,520.869
1962,Not Available,Not Available,Not Available,Not Available,Not Available,575.287,0.343,Not Available,Not Available,1.349,Not Available,1.349,576.978
1963,Not Available,Not Available,Not Available,Not Available,Not Available,565.555,0.573,Not Available,Not Available,1.341,Not Available,1.341,567.469
1964,Not Available,Not Available,Not Available,Not Available,Not Available,604.175,0.695,Not Available,Not Available,1.549,Not Available,1.549,606.419
1965,Not Available,Not Available,Not Available,Not Available,Not Available,661.418,0.646,Not Available,Not Available,2.81,Not Available,2.81,664.874
1966,Not Available,Not Available,Not Available,Not Available,Not Available,664.507,0.641,Not Available,Not Available,3.478,Not Available,3.478,668.626
1967,Not Available,Not Available,Not Available,Not Available,Not Available,755.82,1.079,Not Available,Not Available,3.293,Not Available,3.293,760.192
1968,Not Available,Not Available,Not Available,Not Available,Not Available,759.138,1.487,Not Available,Not Available,3.9,Not Available,3.9,764.525
