U.S. Energy Information Administration,,,,,,,,,,
July 2024 Monthly Energy Review,,,,,,,,,,
,,,,,,,,,,
Note: Information about data precision.,,,,,,,,,,
,,,,,,,,,,
"Release Date: July 29, 2024",,,,,,,,,,
"Next Update: August 27, 2024",,,,,,,,,,
,,,,,,,,,,
Table 10.2b Renewable Energy Consumption:  Industrial Sector,,,,,,,,,,
,,,,,,,,,,
Annual Total,Hydroelectric Power Consumed by the Industrial Sector,Geothermal Energy Consumed by the Industrial Sector,Solar Energy Consumed by the Industrial Sector,Wind Energy Consumed by the Industrial Sector,Wood Energy Consumed by the Industrial Sector,Waste Energy Consumed by the Industrial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Industrial Sector",Biomass Losses and Co-products in the Industrial Sector,Biomass Energy Consumed by the Industrial Sector,Total Renewable Energy Consumed by the Industrial Sector
,(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu)
1949,17.144,Not Available,Not Available,Not Available,468.287,Not Available,Not Available,Not Available,468.287,485.431
1950,16.877,Not Available,Not Available,Not Available,532.237,Not Available,Not Available,Not Available,532.237,549.114
1951,15.782,Not Available,Not Available,Not Available,552.928,Not Available,Not Available,Not Available,552.928,568.71
1952,15.715,Not Available,Not Available,Not Available,551.656,Not Available,Not Available,Not Available,551.656,567.371
1953,14.958,Not Available,Not Available,Not Available,565.897,Not Available,Not Available,Not Available,565.897,580.855
1954,15.597,Not Available,Not Available,Not Available,576.2,Not Available,Not Available,Not Available,576.2,591.797
1955,11.126,Not Available,Not Available,Not Available,631.137,Not Available,Not Available,Not Available,631.137,642.263
1956,10.946,Not Available,Not Available,Not Available,661.409,Not Available,Not Available,Not Available,661.409,672.355
1957,10.664,Not Available,Not Available,Not Available,616.431,Not Available,Not Available,Not Available,616.431,627.095
1958,11.439,Not Available,Not Available,Not Available,619.647,Not Available,Not Available,Not Available,619.647,631.086
1959,11.509,Not Available,Not Available,Not Available,691.973,Not Available,Not Available,Not Available,691.973,703.482
1960,12.306,Not Available,Not Available,Not Available,679.864,Not Available,Not Available,Not Available,679.864,692.17
1961,11.481,Not Available,Not Available,Not Available,695.413,Not Available,Not Available,Not Available,695.413,706.894
1962,11.631,Not Available,Not Available,Not Available,728.179,Not Available,Not Available,Not Available,728.179,739.81
1963,11.039,Not Available,Not Available,Not Available,774.843,Not Available,Not Available,Not Available,774.843,785.882
1964,11.014,Not Available,Not Available,Not Available,826.735,Not Available,Not Available,Not Available,826.735,837.749
1965,10.692,Not Available,Not Available,Not Available,854.943,Not Available,Not Available,Not Available,854.943,865.635
1966,10.856,Not Available,Not Available,Not Available,901.916,Not Available,Not Available,Not Available,901.916,912.772
1967,11.705,Not Available,Not Available,Not Available,894.658,Not Available,Not Available,Not Available,894.658,906.363
1968,11.541,Not Available,Not Available,Not Available,981.948,Not Available,Not Available,Not Available,981.948,993.489
1969,11.176,Not Available,Not Available,Not Available,1014.232,Not Available,Not Available,Not Available,1014.232,1025.408
1970,11.068,Not Available,Not Available,Not Available,1018.911,Not Available,Not Available,Not Available,1018.911,1029.979
1971,10.989,Not Available,Not Available,Not Available,1039.998,Not Available,Not Available,Not Available,1039.998,1050.987
1972,11.315,Not Available,Not Available,Not Available,1112.668,Not Available,Not Available,Not Available,1112.668,1123.983
1973,11.42,Not Available,Not Available,Not Available,1164.853,Not Available,Not Available,Not Available,1164.853,1176.273
1974,10.849,Not Available,Not Available,Not Available,1159.074,Not Available,Not Available,Not Available,1159.074,1169.923
1975,10.598,Not Available,Not Available,Not Available,1063.27,Not Available,Not Available,Not Available,1063.27,1073.868
1976,10.977,Not Available,Not Available,Not Available,1219.876,Not Available,Not Available,Not Available,1219.876,1230.853
1977,10.66,Not Available,Not Available,Not Available,1281.245,Not Available,Not Available,Not Available,1281.245,1291.905
1978,10.394,Not Available,Not Available,Not Available,1400.424,Not Available,Not Available,Not Available,1400.424,1410.818
1979,11.236,Not Available,Not Available,Not Available,1404.862,Not Available,Not Available,Not Available,1404.862,1416.098
1980,10.786,Not Available,Not Available,Not Available,1600,Not Available,Not Available,Not Available,1600,1610.786
1981,10.786,Not Available,Not Available,Not Available,1602,86.718,0.087,5.86,1694.665,1705.45
1982,10.786,Not Available,Not Available,Not Available,1516,117.693,0.205,15.784,1649.682,1660.468
1983,10.786,Not Available,Not Available,Not Available,1690,155.288,0.303,28.843,1874.435,1885.22
1984,10.786,Not Available,Not Available,Not Available,1679,203.568,0.524,35.162,1918.254,1929.04
